x,y1,y2,y3
2.023647,11.900757,-55.012480,11.935534
2.029459,11.901213,-55.031115,11.963111
2.035271,11.901118,-55.046804,11.990438
2.041082,11.900468,-55.059534,12.017514
2.046894,11.899262,-55.069294,12.044334
2.052705,11.897498,-55.076072,12.070899
2.058517,11.895174,-55.079856,12.097204
2.064329,11.892289,-55.080634,12.123249
2.070140,11.888839,-55.078396,12.149030
2.075952,11.884824,-55.073130,12.174547
2.081764,11.880242,-55.064825,12.199795
2.087575,11.875090,-55.053470,12.224774
2.093387,11.869366,-55.039053,12.249481
2.099198,11.863070,-55.021565,12.273915
2.105010,11.856199,-55.000995,12.298072
2.110822,11.848751,-54.977332,12.321950
2.116633,11.840726,-54.950566,12.345549
2.122445,11.832120,-54.920688,12.368865
2.128257,11.822932,-54.887685,12.391896
2.134068,11.813162,-54.851551,12.414640
2.139880,11.802806,-54.812273,12.437095
2.145691,11.791864,-54.769843,12.459259
2.151503,11.780334,-54.724251,12.481130
2.157315,11.768215,-54.675489,12.502706
2.163126,11.755504,-54.623546,12.523985
2.168938,11.742201,-54.568414,12.544963
2.174749,11.728304,-54.510085,12.565641
2.180561,11.713811,-54.448548,12.586015
2.186373,11.698722,-54.383797,12.606083
2.192184,11.683034,-54.315822,12.625843
2.197996,11.666747,-54.244615,12.645294
2.203808,11.649859,-54.170168,12.664433
2.209619,11.632369,-54.092473,12.683258
2.215431,11.614275,-54.011523,12.701767
2.221242,11.595577,-53.927310,12.719958
2.227054,11.576273,-53.839826,12.737829
2.232866,11.556361,-53.749064,12.755379
2.238677,11.535842,-53.655016,12.772604
2.244489,11.514713,-53.557677,12.789504
2.250301,11.492974,-53.457038,12.806075
2.256112,11.470623,-53.353093,12.822317
2.261924,11.447660,-53.245837,12.838228
2.267735,11.424084,-53.135261,12.853804
2.273547,11.399892,-53.021361,12.869045
2.279359,11.375086,-52.904129,12.883948
2.285170,11.349663,-52.783561,12.898512
2.290982,11.323623,-52.659650,12.912734
2.296794,11.296964,-52.532391,12.926613
2.302605,11.269687,-52.401778,12.940147
2.308417,11.241790,-52.267806,12.953334
2.314228,11.213272,-52.130471,12.966172
2.320040,11.184133,-51.989766,12.978659
2.325852,11.154372,-51.845687,12.990793
2.331663,11.123988,-51.698231,13.002573
2.337475,11.092981,-51.547391,13.013997
2.343287,11.061350,-51.393164,13.025063
2.349098,11.029095,-51.235546,13.035768
2.354910,10.996214,-51.074533,13.046112
2.360721,10.962708,-50.910122,13.056093
2.366533,10.928575,-50.742307,13.065708
2.372345,10.893816,-50.571087,13.074957
2.378156,10.858430,-50.396457,13.083836
2.383968,10.822416,-50.218415,13.092346
2.389780,10.785774,-50.036958,13.100483
2.395591,10.748505,-49.852082,13.108246
2.401403,10.710606,-49.663786,13.115633
2.407214,10.672079,-49.472067,13.122644
2.413026,10.632923,-49.276922,13.129275
2.418838,10.593137,-49.078349,13.135526
2.424649,10.552722,-48.876348,13.141394
2.430461,10.511677,-48.670915,13.146879
2.436273,10.470002,-48.462049,13.151979
2.442084,10.427698,-48.249749,13.156691
2.447896,10.384763,-48.034014,13.161014
2.453707,10.341198,-47.814842,13.164948
2.459519,10.297004,-47.592232,13.168489
2.465331,10.252179,-47.366185,13.171637
2.471142,10.206724,-47.136699,13.174391
2.476954,10.160640,-46.903773,13.176748
2.482766,10.113925,-46.667409,13.178707
2.488577,10.066581,-46.427605,13.180266
2.494389,10.018608,-46.184362,13.181425
2.500200,9.970005,-45.937681,13.182181
2.506012,9.920774,-45.687560,13.182534
2.511824,9.870914,-45.434003,13.182481
2.517635,9.820425,-45.177008,13.182022
2.523447,9.769308,-44.916578,13.181154
2.529259,9.717564,-44.652713,13.179878
2.535070,9.665192,-44.385415,13.178190
2.540882,9.612194,-44.114685,13.176090
2.546693,9.558569,-43.840525,13.173577
2.552505,9.504319,-43.562937,13.170648
2.558317,9.449443,-43.281924,13.167304
2.564128,9.393942,-42.997486,13.163542
2.569940,9.337817,-42.709628,13.159361
2.575752,9.281069,-42.418350,13.154760
2.581563,9.223697,-42.123657,13.149738
2.587375,9.165704,-41.825551,13.144294
2.593186,9.107089,-41.524035,13.138426
2.598998,9.047854,-41.219113,13.132132
2.604810,8.987998,-40.910788,13.125413
2.610621,8.927524,-40.599064,13.118266
2.616433,8.866431,-40.283944,13.110691
2.622244,8.804721,-39.965434,13.102687
2.628056,8.742395,-39.643536,13.094251
2.633868,8.679453,-39.318255,13.085384
2.639679,8.615897,-38.989596,13.076084
2.645491,8.551727,-38.657564,13.066350
2.651303,8.486945,-38.322163,13.056180
2.657114,8.421552,-37.983400,13.045575
2.662926,8.355548,-37.641278,13.034533
2.668737,8.288936,-37.295803,13.023053
2.674549,8.221715,-36.946982,13.011133
2.680361,8.153889,-36.594819,12.998774
2.686172,8.085456,-36.239322,12.985973
2.691984,8.016420,-35.880496,12.972731
2.697796,7.946781,-35.518347,12.959045
2.703607,7.876540,-35.152882,12.944916
2.709419,7.805699,-34.784108,12.930343
2.715230,7.734260,-34.412031,12.915324
2.721042,7.662224,-34.036660,12.899858
2.726854,7.589591,-33.658000,12.883946
2.732665,7.516365,-33.276060,12.867585
2.738477,7.442546,-32.890847,12.850776
2.744289,7.368136,-32.502369,12.833517
2.750100,7.293136,-32.110634,12.815809
2.755912,7.217549,-31.715649,12.797649
2.761723,7.141375,-31.317425,12.779037
2.767535,7.064617,-30.915967,12.759973
2.773347,6.987276,-30.511287,12.740456
2.779158,6.909354,-30.103392,12.720486
2.784970,6.830853,-29.692291,12.700061
2.790782,6.751774,-29.277994,12.679181
2.796593,6.672120,-28.860511,12.657845
2.802405,6.591893,-28.439849,12.636053
2.808216,6.511093,-28.016021,12.613805
2.814028,6.429724,-27.589035,12.591099
2.819840,6.347788,-27.158901,12.567936
2.825651,6.265285,-26.725630,12.544314
2.831463,6.182219,-26.289232,12.520234
2.837275,6.098592,-25.849718,12.495694
2.843086,6.014405,-25.407099,12.470695
2.848898,5.929661,-24.961385,12.445236
2.854709,5.844362,-24.512589,12.419316
2.860521,5.758509,-24.060720,12.392935
2.866333,5.672107,-23.605792,12.366094
2.872144,5.585155,-23.147815,12.338790
2.877956,5.497658,-22.686801,12.311025
2.883768,5.409617,-22.222762,12.282798
2.889579,5.321035,-21.755711,12.254108
2.895391,5.231914,-21.285660,12.224955
2.901202,5.142257,-20.812622,12.195340
2.907014,5.052065,-20.336608,12.165261
2.912826,4.961342,-19.857633,12.134719
2.918637,4.870090,-19.375710,12.103713
2.924449,4.778311,-18.890850,12.072244
2.930261,4.686009,-18.403069,12.040310
2.936072,4.593185,-17.912379,12.007913
2.941884,4.499843,-17.418795,11.975052
2.947695,4.405985,-16.922330,11.941726
2.953507,4.311614,-16.422998,11.907937
2.959319,4.216733,-15.920814,11.873683
2.965130,4.121344,-15.415792,11.838965
2.970942,4.025450,-14.907947,11.803782
2.976754,3.929054,-14.397293,11.768136
2.982565,3.832159,-13.883846,11.732025
2.988377,3.734767,-13.367621,11.695450
2.994188,3.636883,-12.848632,11.658411
3.000000,3.538508,-12.326896,11.620909
